id,name,artists,popularity,year,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,url
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,Bebe Rexha,77,2018,0,195519,0.00281,0.63,0.6940000000000001,0.0,11,0.0719,-6.2570000000000014,0,0.0253,97.005,0.216,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
04aAxqtGp5pv12UXAg4pkq,Centuries,Fall Out Boy,80,2015,0,228360,0.00359,0.3929999999999999,0.858,0.0,4,0.102,-2.8680000000000003,0,0.0729,176.042,0.56,https://open.spotify.com/track/0yhPEz5KxlDwckGJaMlZqM
04bEhujOxzNrXeideMtFuR,Never Satisfied,CORPSE,74,2020,1,119432,0.0118,0.561,0.964,3.78e-06,1,0.875,-6.593,1,0.522,160.088,0.452,https://open.spotify.com/track/04bEhujOxzNrXeideMtFuR
04nf4eXur8d2NoDBcOmHOp,家 - 華語版,Kit Chan,23,2015,0,254133,0.606,0.368,0.365,1.68e-06,10,0.12,-7.484,1,0.0302,130.586,0.127,https://open.spotify.com/track/04nf4eXur8d2NoDBcOmHOp
04sN26COy28wTXYj3dMoiZ,Bored,Billie Eilish,74,2017,0,180933,0.8959999999999999,0.614,0.318,0.0023899999999999,7,0.0795,-12.695,1,0.0478,119.959,0.1119999999999999,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
04sx4DemzEp9Dzopqge2QX,I'm On Fire,Chromatics,54,2006,0,245133,0.677,0.621,0.421,0.351,10,0.0615,-11.834,1,0.0286,129.958,0.318,https://open.spotify.com/track/7sReVMQAn2dkBi0l9Es5Tv
04uA3BJ1Rj8DBKkpKCABJx,Mírala Bien,Wisin & Yandel,64,2005,0,156560,0.255,0.815,0.856,0.0,1,0.0697,-4.399,0,0.13,96.014,0.713,https://open.spotify.com/track/04uA3BJ1Rj8DBKkpKCABJx
04w73SmPfQkkmEpKbcrHOL,Heaven Knows,The Pretty Reckless,57,2014,0,224533,0.078,0.5429999999999999,0.815,0.0,2,0.21,-3.712,1,0.0439,83.992,0.579,https://open.spotify.com/track/0c9buzCUcKXCH7Aa4gpTAu
052vSBPxqdmYRDlkSPiavc,Cry Baby,Melanie Martinez,68,2015,1,239080,0.257,0.6859999999999999,0.691,0.0,5,0.145,-4.6160000000000005,0,0.0371,95.046,0.477,https://open.spotify.com/track/052vSBPxqdmYRDlkSPiavc
059R1Qzi5TyYqVKNT1xlaL,Tony Presidio,Vico C,48,1998,0,371000,0.0478,0.6890000000000001,0.425,0.0,2,0.0763,-13.31,1,0.312,96.902,0.396,https://open.spotify.com/track/059R1Qzi5TyYqVKNT1xlaL
05BkWRVy0cubbSnsyzw2lu,Ven Espíritu Ven,Marco Barrientos,59,2009,0,288320,0.201,0.386,0.356,0.0132,1,0.179,-9.875,0,0.0282,115.613,0.18,https://open.spotify.com/track/05BkWRVy0cubbSnsyzw2lu
05Cyu0MjjsguI2Vcv6e7cb,Amores Como el Nuestro,Jerry Rivera,41,1990,0,246907,0.59,0.627,0.8009999999999999,0.0067,0,0.0649,-4.0280000000000005,1,0.0377,88.851,0.619,https://open.spotify.com/track/1RpCXjlxFGS6LfPOvqSJ7M
05JZ5FjuflMEY9uq5ogBYF,Prisencolinensinainciusol,Adriano Celentano,44,1992,0,229068,0.332,0.787,0.638,1.18e-05,8,0.181,-12.127,1,0.0673,107.488,0.4,https://open.spotify.com/track/0HQf0bd3oSZei450iKuUFR
05KOgYg8PGeJyyWBPi5ja8,Free Smoke,Drake,63,2017,1,218674,0.0681,0.736,0.491,0.0,10,0.5710000000000001,-6.892,0,0.439,141.97899999999996,0.203,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8
05Kms0excTlHRel656GZ3U,Monsters,Katie Sky,65,2014,0,217841,0.26,0.501,0.67,0.0,1,0.0774,-5.847,1,0.0696,175.895,0.614,https://open.spotify.com/track/05Kms0excTlHRel656GZ3U
05NYcsjJwOYq4jIiKPVj9p,Hard To Handle,The Black Crowes,69,1990,0,188067,0.00257,0.599,0.79,0.00181,4,0.312,-3.58,1,0.043,103.783,0.961,https://open.spotify.com/track/0N7LKqYxUrg5UFb6Z4OSDF
